,Length,Width,Views from last 7 days,Price in Euros,clusters,cluster
0,-1.2746744934842271,-1.3450364382189965,0.4686652817478717,-0.30053735488940986,1,light pink
1,-1.2746744934842271,-1.6858711749352555,-0.5004698871221923,-0.3004375681491411,1,light pink
2,-1.4476861058614126,-2.111914595830579,-0.5710691378345811,-0.30057985622070443,1,light pink
3,-1.3525297190539607,-1.7199546486068813,-0.6095778200413385,-0.30054283818582617,1,light pink
4,-0.8940489462544194,-0.936034754159486,2.0603574796271817,-0.30022702807577095,4,dark purple
5,-1.3369586739400139,-1.7966424643680394,-0.6930132981559799,-0.3006191878827626,1,light pink
6,-1.2141204291522125,-1.4898912013234067,0.1734320514960641,-0.30065736273123084,1,light pink
7,-1.2141204291522125,-1.4728494644875936,0.552100759862513,-0.30034502306194544,1,light pink
8,-1.1535663648201975,-1.2598277540399319,-0.5389785693289498,-0.30042600001324166,1,light pink
9,-1.205469848533353,-1.5580581486666585,-0.25658156647939473,-0.2990470782140261,1,light pink
10,-1.323117744949839,-1.8307259380396654,1.6688525438584805,-0.2991650732002006,1,light pink
11,-1.2746744934842271,-2.111914595830579,-0.18598231576700597,-0.29996327457726324,1,light pink
12,-0.5826280439754858,-0.5440748069357884,0.7189717160917956,-0.29984759321826865,1,light pink
13,-0.864636972150298,-0.9956808330848311,1.1361491066650018,-0.29984759321826865,1,light pink
14,-1.3525297190539607,-1.7199546486068813,-0.5389785693289498,-0.2998487500318586,1,light pink
15,-1.2210408936472998,-1.5665790170845648,-0.4041981816052985,-0.29992857016956487,1,light pink
16,-0.9978559136807308,-1.174619069860867,-0.3528532719962885,-0.29996327457726324,1,light pink
17,-0.8369551141699483,-0.8593469383983275,1.4763091328246931,-0.29996327457726324,1,light pink
18,-0.9805547524430122,-1.643266832845723,0.04506977747353908,-0.29951905815872404,1,light pink
19,-1.3525297190539607,-1.7199546486068813,-0.14747363356024848,-0.29971964963522063,1,light pink
20,-0.9978559136807308,-1.6177042275920035,3.132182467715266,-0.299755048131073,4,dark purple
21,-1.2729443773604554,-1.6858711749352555,2.3042458002699795,-0.29978454687761663,4,dark purple
22,-1.1293447390873916,-1.6177042275920035,0.31463055292084163,-0.29981404562416025,1,light pink
23,-1.0930123004881827,-1.3450364382189965,1.733033680869743,-0.2998730431172475,4,dark purple
24,-1.203739732409581,-1.5069329381592196,0.654790579080533,-0.299991038103422,1,light pink
25,-0.8940489462544194,-0.8763886752341404,10.596448702125096,-0.299991038103422,4,dark purple
26,-1.0324582361561676,-1.5410164118308454,4.467150117549527,-0.299991038103422,4,dark purple
27,-1.205469848533353,-1.6858711749352555,-0.12821929245686972,-0.30042600001324166,1,light pink
28,-1.2746744934842271,-1.5836207539203777,-0.3528532719962885,-0.30042600001324166,1,light pink
29,-1.2954358869694895,-1.6943920433531618,-0.6352502748458436,-0.29771662690422923,1,light pink
30,-1.0670605586316049,-1.0894103856818023,0.21194073370282163,-0.2981123728333498,1,light pink
31,-1.205469848533353,-1.4472868592338741,-0.22449099797376348,-0.2981123728333498,1,light pink
32,-1.0151570749184493,-1.208702543532493,-0.5068880008233185,-0.2981123728333498,1,light pink
33,-0.9546030105864344,-1.063847780428083,2.5032073250048934,-0.2975131433937578,4,dark purple
